code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
IRQ,0.032213,0.031459,0.032031,0.031642,0.036419,0.045802,0.048483,0.036741,0.032435,0.035266,0.036194,0.036401,0.039576,0.040401,0.035853,0.045498,0.04152,0.037974,0.044671,0.034172
SYR,0.025468,0.022811,0.021435,0.018048,0.021507,0.031268,0.031952,0.024338,0.022968,0.023067,0.022341,0.023296,0.023728,0.029103,0.022694,0.030368,0.026912,0.023285,0.02963,0.023135
DZA,0.040927,0.037465,0.039028,0.039103,0.046835,0.043016,0.047121,0.040345,0.042481,0.03742,0.040292,0.04572,0.039,0.03896,0.038276,0.040973,0.03554,0.043165,0.041968,0.045189
PAK,0.1375,0.10714,0.11552,0.13135,0.14552,0.14804,0.13953,0.12849,0.13835,0.14987,0.17936,0.16566,0.18437,0.12538,0.13333,0.1917,0.17359,0.13406,0.16558,0.21208
MLT,0.00047514,0.00047253,0.00047704,0.00045443,0.00047915,0.0004782,0.00051172,0.00050593,0.00052826,0.0005026,0.0004887,0.00032012,0.00024723,0.00026,0.00026853,0.0002762,0.00026014,0.00026713,0.00028355,0.00028201
MAR,0.038986,0.041042,0.03032,0.029511,0.028919,0.027819,0.03709,0.027739,0.02904,0.027639,0.027612,0.032349,0.02724,0.026737,0.021377,0.036007,0.031201,0.033899,0.03235,0.033868
CYP,0.0039529,0.0038823,0.0034626,0.0034563,0.004294,0.0044106,0.0061726,0.0053785,0.0050894,0.0044416,0.0041529,0.0040749,0.0041707,0.0047839,0.0033113,0.0043577,0.0046197,0.0042304,0.0036334,0.0037114
IND,0.87411,0.74776,0.72135,0.85078,0.83769,0.96779,0.79217,0.72908,0.78112,0.95213,1.0095,1.0092,1.0542,0.76916,0.76605,1.0902,0.95148,0.86348,1.0523,1.056
LBN,0.0014979,0.0014525,0.0013214,0.001315,0.0015812,0.0017446,0.0022428,0.0019452,0.0019123,0.0016743,0.0015546,0.0015677,0.0015724,0.001832,0.0013343,0.0017694,0.001826,0.0016532,0.0015483,0.0015067
JOR,0.0047434,0.0046512,0.0046132,0.0054485,0.005302,0.0065669,0.0065549,0.0063156,0.0080528,0.0064217,0.0055624,0.0063201,0.005622,0.0066731,0.0061836,0.008176,0.0084648,0.0075172,0.0077493,0.0077547
